PersonId,DegreeYear,rao,prof_field,phd_field,n,gender
186,2005,0.469938986,Social Sciences,Social Sciences,6,F
187,2006,0.467723203,Bio & Health,Bio & Health,7,F
188,2008,0.430746895,Phys & Eng,Phys & Eng,4,M
189,2005,0.553554257,Bio & Health,Bio & Health,13,F
190,2007,0.314868192,Social Sciences,Phys & Eng,2,F
191,2011,0.428696,Bio & Health,Life & Earth,16,F
192,2006,0.567076024,Social Sciences,Social Sciences,2,M
193,2006,0.497111549,Bio & Health,Bio & Health,8,M
194,2005,0.558231522,Social Sciences,Social Sciences,4,M
195,2007,0.352074763,Social Sciences,Social Sciences,6,M
196,2007,0.596104257,Phys & Eng,Social Sciences,5,F
197,2007,0.576196494,Social Sciences,Social Sciences,2,M
198,2005,0.281191079,Life & Earth,Life & Earth,1,M
199,2006,0.466161005,Bio & Health,Bio & Health,6,F
200,2005,0.483484028,Social Sciences,Social Sciences,2,M
201,2005,0.413713856,Math & Computing,Math & Computing,4,F
202,2006,0.456118029,Bio & Health,Bio & Health,5,F
203,2006,0.443856888,Social Sciences,Social Sciences,3,F
204,2005,0.329326936,Phys & Eng,Phys & Eng,5,M
205,2006,0.221446665,Social Sciences,Social Sciences,2,F
206,2005,0.559825916,Social Sciences,Social Sciences,5,M
207,2005,0.678638126,Phys & Eng,Phys & Eng,3,M
208,2006,0.499959263,Math & Computing,Math & Computing,4,M
209,2005,0.394326673,Life & Earth,Life & Earth,6,F
210,2005,0.551559408,Social Sciences,Social Sciences,6,F
211,2005,0.285987707,Life & Earth,Life & Earth,5,M
212,2005,0.648897719,Life & Earth,Life & Earth,10,F
213,2005,0.21113699,Bio & Health,Life & Earth,6,M
214,2006,0.457712727,Social Sciences,Social Sciences,4,M
215,2006,0.051488785,Social Sciences,Social Sciences,2,M
216,2005,0.460121257,Phys & Eng,Phys & Eng,18,M
217,2005,0.525792791,Social Sciences,Social Sciences,2,F
218,2005,0.475774727,Phys & Eng,Phys & Eng,7,M
219,2005,0.324074007,Social Sciences,Social Sciences,2,F
220,2006,0.463954512,Life & Earth,Life & Earth,8,M
221,2006,0.52247931,Math & Computing,Math & Computing,3,M
222,2005,0.358340666,Life & Earth,Life & Earth,3,M
223,2005,0.58684661,Social Sciences,Social Sciences,3,F
224,2007,2.22E-16,Math & Computing,Math & Computing,11,M
225,2007,0.125081646,Social Sciences,Social Sciences,4,F
226,2007,0.080765109,Social Sciences,Social Sciences,4,M
227,2005,0.625589294,Life & Earth,Life & Earth,1,F
228,2006,0.342794962,Life & Earth,Bio & Health,9,M
229,2005,0.486412672,Phys & Eng,Phys & Eng,8,F
230,2005,0.436882069,Phys & Eng,Phys & Eng,13,M
231,2005,0.51080021,Phys & Eng,Phys & Eng,6,F
232,2005,0.518238341,Social Sciences,Social Sciences,2,F
233,2006,0.622884423,Social Sciences,Life & Earth,3,F
234,2005,0.586202833,Social Sciences,Social Sciences,13,M
235,2005,0.456258371,Phys & Eng,Phys & Eng,1,M
236,2006,0.36430858,Social Sciences,Social Sciences,2,M
237,2006,0.389791275,Phys & Eng,Phys & Eng,4,M
238,2006,0.701121,Life & Earth,Life & Earth,2,M
239,2006,0.206085939,Social Sciences,Social Sciences,1,M
240,2005,0.175840625,Social Sciences,Social Sciences,3,M
241,2005,0.166583772,Life & Earth,Life & Earth,7,M
242,2008,0.373327686,Social Sciences,Social Sciences,3,M
243,2006,0.230216155,Phys & Eng,Phys & Eng,7,M
244,2007,0.444900357,Phys & Eng,Social Sciences,10,F
245,2006,0.042688678,Social Sciences,Social Sciences,2,F
246,2008,0.504651753,Life & Earth,Life & Earth,6,F
247,2005,0.144859326,Life & Earth,Life & Earth,7,F
248,2008,0.606455992,Social Sciences,Social Sciences,4,F
249,2005,0.175354984,Life & Earth,Life & Earth,9,F
250,2006,0.234634996,Social Sciences,Phys & Eng,4,M
251,2006,0.564750475,Social Sciences,Life & Earth,2,F
252,2006,0.180829804,Life & Earth,Life & Earth,2,M
253,2005,0.598634855,Phys & Eng,Phys & Eng,7,F
254,2005,0.581161428,Phys & Eng,Phys & Eng,3,M
255,2007,0.24030981,Phys & Eng,Phys & Eng,6,M
256,2005,0.338941454,Social Sciences,Social Sciences,6,F
257,2005,0.361860432,Social Sciences,Social Sciences,4,M
258,2006,4.44E-16,Social Sciences,Social Sciences,3,M
259,2006,4.44E-16,Social Sciences,Social Sciences,3,F
260,2005,0.641676095,Social Sciences,Social Sciences,5,M
261,2005,0.171440599,Phys & Eng,Phys & Eng,10,M
262,2005,0.376275522,Bio & Health,Bio & Health,11,M
263,2007,2.22E-16,Social Sciences,Social Sciences,3,F
264,2006,0.46194692,Phys & Eng,Life & Earth,11,M
265,2006,0.589592973,Social Sciences,Social Sciences,6,M
266,2005,0.560537868,Life & Earth,Life & Earth,7,M
267,2007,0.599019203,Social Sciences,Social Sciences,1,M
268,2005,0.422172562,Social Sciences,Social Sciences,1,M
269,2005,0.554718667,Math & Computing,Math & Computing,4,M
270,2007,0.478009138,Life & Earth,Life & Earth,12,M
271,2006,0.514924034,Phys & Eng,Phys & Eng,10,M
272,2007,0.361303926,Social Sciences,Social Sciences,1,M
273,2005,0.470057115,Social Sciences,Social Sciences,4,F
274,2006,0.195500484,Social Sciences,Social Sciences,1,M
275,2005,0.460883964,Phys & Eng,Phys & Eng,1,M
276,2005,0.560902605,Bio & Health,Bio & Health,15,F
277,2005,0.540666279,Phys & Eng,Phys & Eng,7,M
278,2006,0.38651455,Phys & Eng,Phys & Eng,6,M
279,2008,0.653062723,Social Sciences,Phys & Eng,2,F
280,2006,0.528888094,Social Sciences,Social Sciences,12,M
281,2005,0.654718705,Life & Earth,Life & Earth,3,M
282,2005,0.163746113,Social Sciences,Social Sciences,1,M
283,2007,0.106529613,Social Sciences,Social Sciences,3,M
284,2006,0.502094147,Life & Earth,Life & Earth,7,F
285,2005,0.554056599,Life & Earth,Life & Earth,3,F
286,2005,0.349559195,Life & Earth,Life & Earth,19,M
287,2007,0.546944021,Math & Computing,Math & Computing,4,F
288,2006,7.77E-16,Math & Computing,Math & Computing,11,M
289,2006,0.327611094,Social Sciences,Social Sciences,5,F
290,2006,0.247274774,Life & Earth,Life & Earth,7,M
291,2006,0.618789184,Bio & Health,Bio & Health,8,M
292,2005,0.345329245,Social Sciences,Social Sciences,3,M
293,2008,0.63343482,Bio & Health,Social Sciences,6,F
294,2005,0.478522095,Math & Computing,Phys & Eng,5,M
295,2005,0.501770585,Social Sciences,Social Sciences,6,F
296,2006,0.545732253,Math & Computing,Math & Computing,4,M
297,2005,0.589855249,Social Sciences,Social Sciences,1,M
298,2006,0.586534833,Bio & Health,Bio & Health,10,M
299,2007,0.640595904,Math & Computing,Math & Computing,7,M
300,2005,0.574115442,Phys & Eng,Phys & Eng,17,M
301,2005,0.322088748,Life & Earth,Life & Earth,7,M
302,2006,0.400264233,Bio & Health,Bio & Health,8,M
303,2005,0.574767498,Social Sciences,Social Sciences,5,F
304,2005,0.509802355,Social Sciences,Social Sciences,5,F
305,2007,0.269098191,Life & Earth,Life & Earth,7,M
306,2005,0.096157856,Math & Computing,Math & Computing,10,M
307,2005,0.420645289,Bio & Health,Bio & Health,9,M
308,2007,0.577155362,Social Sciences,Math & Computing,2,M
309,2005,0.389341301,Bio & Health,Bio & Health,2,M
310,2005,0.467477727,Life & Earth,Bio & Health,3,M
311,2005,0.467477727,Phys & Eng,Bio & Health,3,M
312,2005,0.306506051,Social Sciences,Social Sciences,8,M
313,2005,0.510730852,Bio & Health,Bio & Health,3,F
314,2008,0.476176492,Math & Computing,Math & Computing,8,M
315,2005,0.122088847,Social Sciences,Life & Earth,4,M
316,2006,0.628867204,Bio & Health,Bio & Health,12,F
317,2006,0.459996847,Phys & Eng,Life & Earth,8,M
318,2006,0.514892905,Phys & Eng,Phys & Eng,12,M
319,2005,0.491721037,Life & Earth,Life & Earth,14,F
320,2005,0.311635315,Social Sciences,Social Sciences,3,F
321,2005,0.580781769,Bio & Health,Bio & Health,2,F
322,2007,0.116203562,Social Sciences,Social Sciences,3,M
323,2007,0.428691635,Social Sciences,Social Sciences,5,M
324,2005,0.304711955,Phys & Eng,Phys & Eng,13,M
325,2005,0.421496996,Phys & Eng,Phys & Eng,8,M
326,2005,0.390457031,Social Sciences,Social Sciences,2,F
327,2006,0.418858246,Math & Computing,Math & Computing,2,M
328,2005,0.583145921,Life & Earth,Life & Earth,10,M
329,2006,0.50200105,Phys & Eng,Phys & Eng,6,F
330,2007,0.117617087,Social Sciences,Social Sciences,1,M
331,2005,0.527146355,Social Sciences,Social Sciences,1,M
332,2008,0.619873311,Phys & Eng,Phys & Eng,2,M
333,2006,0.260191257,Phys & Eng,Phys & Eng,3,M
334,2006,0.344339689,Bio & Health,Bio & Health,9,F
335,2006,0.532236494,Bio & Health,Bio & Health,4,F
336,2006,0.571537547,Life & Earth,Life & Earth,2,F
337,2006,0.571537547,Phys & Eng,Life & Earth,2,F
338,2005,0.516230767,Bio & Health,Bio & Health,9,F
339,2005,0.237009927,Life & Earth,Bio & Health,11,M
340,2006,9.99E-16,Math & Computing,Math & Computing,4,M
341,2006,0.445347908,Phys & Eng,Phys & Eng,3,M
342,2006,0.541074981,Bio & Health,Bio & Health,3,F
343,2005,0.672187061,Life & Earth,Life & Earth,1,M
344,2006,0.33952429,Social Sciences,Social Sciences,2,M
345,2008,0.056692088,Social Sciences,Social Sciences,3,M
346,2005,0.27226869,Social Sciences,Social Sciences,2,M
347,2005,0.588924244,Bio & Health,Bio & Health,17,M
348,2005,0.623383557,Phys & Eng,Phys & Eng,10,F
349,2006,0.615109783,Social Sciences,Bio & Health,9,F
350,2007,0.489395673,Bio & Health,Bio & Health,8,M
351,2006,0.652376013,Math & Computing,Math & Computing,4,M
352,2007,0.454383094,Bio & Health,Bio & Health,8,F
353,2007,0.751871739,Social Sciences,Social Sciences,1,M
354,2008,0.515383722,Life & Earth,Life & Earth,19,M
355,2008,0.234180405,Life & Earth,Life & Earth,6,F
356,2007,0.158875053,Social Sciences,Social Sciences,3,M
357,2005,0.503553056,Phys & Eng,Phys & Eng,17,M
358,2005,0.076903072,Social Sciences,Social Sciences,1,M
359,2005,0.534896067,Life & Earth,Life & Earth,2,F
360,2005,0.452991906,Social Sciences,Social Sciences,3,M
361,2005,0.639755103,Social Sciences,Social Sciences,5,F
362,2005,0.508924998,Social Sciences,Social Sciences,1,M
363,2005,0.101964134,Math & Computing,Math & Computing,2,M
364,2006,0.480076374,Social Sciences,Social Sciences,9,F
365,2006,0.412121943,Life & Earth,Life & Earth,7,F
366,2006,0.560525363,Phys & Eng,Phys & Eng,10,M
367,2005,0.411246986,Bio & Health,Bio & Health,6,M
368,2005,0.453943629,Social Sciences,Social Sciences,1,M
369,2006,0.461650471,Social Sciences,Social Sciences,1,F
370,2007,0.48380994,Social Sciences,Social Sciences,1,F
371,2005,0.538308706,Bio & Health,Phys & Eng,3,M
372,2015,0.535145372,Bio & Health,Bio & Health,12,M
373,2005,0.617805664,Social Sciences,Social Sciences,1,F
374,2005,0.451847928,Life & Earth,Life & Earth,10,M
375,2005,0.460261171,Bio & Health,Bio & Health,7,F
376,2012,0.611103657,Bio & Health,Bio & Health,1,F
377,2006,0.317411643,Phys & Eng,Phys & Eng,4,M
378,2006,0.406909808,Phys & Eng,Phys & Eng,4,M
379,2006,0.482857859,Social Sciences,Math & Computing,1,M
380,2007,0.536460832,Phys & Eng,Phys & Eng,4,M
381,2005,0.300512412,Phys & Eng,Phys & Eng,6,M
382,2007,0.467178678,Social Sciences,Social Sciences,1,F
383,2006,0.362102212,Phys & Eng,Phys & Eng,20,M
384,2006,0.41808361,Math & Computing,Math & Computing,3,M
385,2005,0.603411359,Social Sciences,Social Sciences,2,F
386,2005,0.355140216,Phys & Eng,Phys & Eng,7,M
387,2005,0.57507667,Social Sciences,Social Sciences,2,F
388,2005,0.388733518,Math & Computing,Math & Computing,9,M
389,2006,7.77E-16,Math & Computing,Math & Computing,9,M
390,2005,2.00E-15,Math & Computing,Math & Computing,5,M
391,2006,0.06775814,Phys & Eng,Phys & Eng,4,M
392,2007,0.315783793,Bio & Health,Math & Computing,3,F
393,2007,0.315783793,Social Sciences,Math & Computing,3,F
394,2006,0.312008507,Phys & Eng,Phys & Eng,10,M
395,2006,7.22E-16,Bio & Health,Bio & Health,10,F
396,2007,0.36528333,Social Sciences,Social Sciences,4,M
397,2007,0.517681559,Phys & Eng,Phys & Eng,11,M
398,2005,0.172596982,Math & Computing,Math & Computing,12,M
399,2005,0.69398025,Social Sciences,Social Sciences,1,F
400,2007,0.439451119,Phys & Eng,Phys & Eng,2,M
401,2005,0.565697978,Social Sciences,Social Sciences,1,F
402,2006,0.495396908,Math & Computing,Math & Computing,4,F
403,2006,0.276873276,Math & Computing,Phys & Eng,1,M
404,2006,0.276873276,Phys & Eng,Phys & Eng,1,M
405,2006,0.299665388,Phys & Eng,Phys & Eng,10,M
406,2006,0.551834577,Social Sciences,Social Sciences,4,M
407,2006,0.629641473,Phys & Eng,Phys & Eng,14,M
408,2005,5.00E-16,Math & Computing,Math & Computing,6,M
409,2006,0.411246953,Bio & Health,Bio & Health,3,F
410,2007,0.596575608,Phys & Eng,Math & Computing,6,M
411,2005,0.37121033,Social Sciences,Social Sciences,2,F
412,2006,0.365912772,Phys & Eng,Phys & Eng,1,F
413,2006,0.122370962,Math & Computing,Math & Computing,3,F
414,2005,0.572609222,Bio & Health,Bio & Health,12,M
415,2006,0.445400038,Social Sciences,Social Sciences,8,M
416,2006,0.481094926,Bio & Health,Bio & Health,4,F
417,2007,0.472046008,Phys & Eng,Phys & Eng,5,F
418,2006,0.542736517,Social Sciences,Social Sciences,2,F
419,2006,0.54417565,Math & Computing,Math & Computing,3,M
420,2007,0.469498271,Math & Computing,Phys & Eng,3,F
421,2007,0.1342531,Bio & Health,Life & Earth,4,M
422,2007,0.575774117,Social Sciences,Social Sciences,2,F
423,2007,0.416046249,Social Sciences,Social Sciences,5,M
424,2007,0.50927857,Phys & Eng,Phys & Eng,6,M
425,2005,0.657222623,Phys & Eng,Phys & Eng,2,F
426,2012,0.195288552,Social Sciences,Social Sciences,2,F
427,2005,0.126094741,Social Sciences,Social Sciences,1,M
428,2008,0.58295653,Social Sciences,Social Sciences,2,M
429,2006,0.495681654,Social Sciences,Social Sciences,11,F
430,2006,0.512627291,Phys & Eng,Phys & Eng,2,M
431,2005,0.357482905,Math & Computing,Math & Computing,2,M
432,2007,0.528631049,Social Sciences,Social Sciences,5,F
433,2006,0.055224962,Social Sciences,Social Sciences,4,F
434,2005,0.387049699,Social Sciences,Phys & Eng,5,M
435,2005,0.462330564,Social Sciences,Social Sciences,2,F
436,2007,0.194120218,Life & Earth,Life & Earth,5,M
437,2006,0.501019162,Phys & Eng,Phys & Eng,1,M
438,2006,0.022572515,Social Sciences,Social Sciences,2,M
439,2005,0.566999212,Life & Earth,Life & Earth,10,M
440,2006,0.191600608,Social Sciences,Social Sciences,4,M
441,2006,0.549605298,Phys & Eng,Phys & Eng,6,M
442,2005,0.37293929,Phys & Eng,Phys & Eng,11,M
443,2006,0.36582792,Math & Computing,Math & Computing,5,M
444,2005,0.536323496,Phys & Eng,Phys & Eng,8,M
445,2006,0.493468554,Phys & Eng,Phys & Eng,9,M
446,2005,0.217043312,Life & Earth,Life & Earth,12,F
447,2006,0.151886473,Social Sciences,Social Sciences,1,F
448,2007,0.491963862,Life & Earth,Life & Earth,2,F
449,2005,0.546571214,Phys & Eng,Phys & Eng,7,M
450,2006,0.15361557,Social Sciences,Social Sciences,1,M
451,2006,0.63681792,Life & Earth,Life & Earth,6,M
452,2006,0.546349057,Phys & Eng,Phys & Eng,4,F
453,2010,0.411819626,Bio & Health,Phys & Eng,11,M
454,2006,0.425297397,Social Sciences,Social Sciences,10,M
455,2006,0.586343411,Phys & Eng,Life & Earth,7,M
456,2005,0.570607025,Phys & Eng,Phys & Eng,9,F
457,2005,0.362288866,Bio & Health,Bio & Health,19,M
458,2007,0.174504601,Social Sciences,Social Sciences,1,M
459,2005,0.315141065,Social Sciences,Social Sciences,2,F
460,2006,0.517883684,Social Sciences,Social Sciences,6,M
461,2007,0.331182189,Social Sciences,Social Sciences,1,M
462,2006,0.477835591,Phys & Eng,Phys & Eng,5,F
463,2006,0.431768615,Social Sciences,Bio & Health,9,F
464,2005,0.292336514,Social Sciences,Social Sciences,2,M
465,2006,0.341818923,Social Sciences,Social Sciences,7,M
466,2005,0.415782432,Social Sciences,Social Sciences,2,M
467,2005,0.585538208,Life & Earth,Bio & Health,19,F
468,2005,0.512931575,Bio & Health,Bio & Health,5,F
469,2007,0.6265912,Social Sciences,Life & Earth,3,M
470,2005,0.421522299,Phys & Eng,Phys & Eng,5,F
471,2005,0.622747497,Social Sciences,Social Sciences,8,F
472,2005,0.360957027,Phys & Eng,Phys & Eng,6,M
473,2006,0.266179078,Phys & Eng,Phys & Eng,4,M
